Title,Location,Price,Area,Rooms
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²,6 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Rijnstraat                            ,            1078 PV Amsterdam (IJselbuurt)        ,"                €2,450 per month            ",78 m²,3 rooms
                        Apartment Reyer Anslostraat 17 H                            ,            1054 KT Amsterdam (Overtoomse Sluis)        ,"                €3,000 per month            ",117 m²,5 rooms
                        Apartment Vrolikstraat                            ,            1092 TW Amsterdam (Oosterparkbuurt)        ,"                €1,950 per month            ",57 m²,2 rooms
                        Apartment Vondelstraat                            ,            1054 GE Amsterdam (Vondelbuurt)        ,"                €2,850 per month            ",125 m²,3 rooms
                        Apartment Utrechtsestraat 40 1                            ,            1017 VP Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            ",120 m²,2 rooms
                        House Holbeinstraat                            ,            1077 VC Amsterdam (Apollobuurt)        ,"                €6,000 per month            ",201 m²,5 rooms
                        Apartment Sarphatipark                            ,            1072 PB Amsterdam (Oude Pijp)        ,"                €2,975 per month            ",83 m²,3 rooms
                        Apartment Wijsmullerstraat                            ,            1058 JG Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",55 m²,2 rooms
                        Apartment Herengracht                            ,            1015 BD Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",100 m²,3 rooms
                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",65 m²,3 rooms
                        Apartment Jacob van Lennepkade                            ,            1053 NN Amsterdam (Van Lennepbuurt)        ,"                €1,650 per month            ",41 m²,2 rooms
                        Apartment Theodoor van Hoytemastraat                            ,            1062 CG Amsterdam (Overtoomse Veld)        ,"                €1,950 per month            ",89 m²,3 rooms
                        Apartment Prinsengracht                            ,            1017 LC Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",105 m²,3 rooms
                        Apartment Koggestraat                            ,            1012 TA Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,950 per month            ",92 m²,3 rooms
                        Apartment Admiralengracht 52 2                            ,            1057 GA Amsterdam (Chassébuurt)        ,"                €1,500 per month            ",60 m²,2 rooms
                        Apartment Woestduinstraat                            ,            1059 TA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",55 m²,2 rooms
                        Apartment Kinkerstraat                            ,            1053 GG Amsterdam (Van Lennepbuurt)        ,"                €2,250 per month            ",54 m²,3 rooms
                        Apartment Waterlooplein                            ,            1011 PG Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",45 m²,2 rooms
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",100 m²,3 rooms
                        Apartment Nieuwezijds Voorburgwal 18 B                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",100 m²,3 rooms
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,250 per month            ",100 m²,3 rooms
                        Apartment Bentinckstraat                            ,            1051 GD Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",87 m²,3 rooms
                        Apartment Nassaukade                            ,            1053 LK Amsterdam (Da Costabuurt)        ,"                €1,600 per month            ",40 m²,2 rooms
                        Apartment Gravenstraat                            ,            1012 NL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,900 per month            ",55 m²,2 rooms
                        Apartment Loenermark                            ,            1025 TP Amsterdam (Buikslotermeer)        ,"                €1,950 per month            ",75 m²,3 rooms
                        Apartment KNSM-laan 360                            ,            1019 LN Amsterdam (Oostelijk Havengebied)        ,"                €1,950 per month            ",72 m²,3 rooms
                        Apartment Cornelis van Rijplantsoen 3                            ,            1063 MC Amsterdam (Slotermeer-Noordoost)        ,"                €1,950 per month            ",91 m²,3 rooms
                        Apartment Weerdestein 90                            ,            1083 GG Amsterdam (Buitenveldert-Oost)        ,"                €2,500 per month            ",110 m²,4 rooms
                        Apartment Leenhofstraat                            ,            1067 KW Amsterdam (Geuzenveld)        ,"                €1,750 per month            ",69 m²,3 rooms
                        Apartment Admiraal De Ruijterweg 178 E                            ,            1056 GZ Amsterdam (Landlust)        ,"                €2,000 per month            ",75 m²,3 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KN Amsterdam (Da Costabuurt)        ,"                €2,650 per month            ",120 m²,3 rooms
                        Apartment Veembroederhof 177                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",146 m²,3 rooms
                        Apartment Elandsgracht                            ,            1016 TV Amsterdam (Jordaan)        ,"                €2,900 per month            ",158 m²,3 rooms
                        Apartment Brittenburg 39                            ,            1082 BS Amsterdam (Buitenveldert-West)        ,"                €1,750 per month            ",65 m²,3 rooms
                        Studio Zeeburgerdijk                            ,            1093 SK Amsterdam (Dapperbuurt)        ,"                €1,250 per month            ",33 m²,1 room
                        Apartment Warmoesstraat 12 B                            ,            1012 JD Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,050 per month            ",74 m²,2 rooms
                        Apartment Sarphatipark                            ,            1073 CP Amsterdam (Oude Pijp)        ,"                €2,450 per month            ",73 m²,3 rooms
                        Apartment Bosrankstraat                            ,            1032 LH Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,200 per month            ",85 m²,3 rooms
                        House Prinsengracht 751                            ,            1017 JX Amsterdam (Grachtengordel-Zuid)        ,"                €5,950 per month            ",265 m²,8 rooms
                        Apartment Staringstraat                            ,            1054 VR Amsterdam (Overtoomse Sluis)        ,"                €1,800 per month            ",75 m²,3 rooms
                        Apartment Bloemgracht                            ,            1015 TJ Amsterdam (Jordaan)        ,"                €2,500 per month            ",87 m²,3 rooms
                        Apartment Haarlemmerdijk                            ,            1013 JK Amsterdam (Haarlemmerbuurt)        ,"                €1,600 per month            ",50 m²,2 rooms
                        Apartment Nieuwe Keizersgracht 60 III                            ,            1018 DT Amsterdam (Weesperbuurt/Plantage)        ,"                €2,500 per month            ",100 m²,3 rooms
                        Apartment Galvanistraat 4 H                            ,            1098 NL Amsterdam (Middenmeer)        ,"                €2,250 per month            ",90 m²,4 rooms
                        Apartment Ceintuurbaan 93 3+4                            ,            1072 EX Amsterdam (Oude Pijp)        ,"                €2,495 per month            ",95 m²,3 rooms
                        Apartment Nieuwe Herengracht                            ,            1011 RL Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,750 per month            ",80 m²,3 rooms
                        Apartment Julius Pergerstraat                            ,            1087 KN Amsterdam (IJburg Zuid)        ,"                €2,000 per month            ",85 m²,3 rooms
                        Apartment Herengracht                            ,            1017 BS Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",55 m²,2 rooms
                        Apartment Werkhovenstraat                            ,            1107 KD Amsterdam (Gein)        ,"                €1,750 per month            ",90 m²,5 rooms
                        House De Wittenkade 55                            ,            1052 AD Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",116 m²,4 rooms
                        Apartment Eerste Hugo de Grootstraat 7 hs                            ,            1052 KK Amsterdam (Frederik Hendrikbuurt)        ,"                €2,350 per month            ",69 m²,2 rooms
